,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
AZ220,2008,AZ,972,972,972,19440,19440,19440,2299752,1187702.66,1221.92,61.1,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Lyman Water Company,Zuni Tribe,June '08
AZ221,2008,AZ,15203,15203,15203,15203,15203,15203,10596491,5637497.3,370.81,370.81,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,0,Tuscon Water,Tuscon users of reclaimed water (820),March '08
AZ222,2008,AZ,5000,5000,5000,5000,5000,5000,305000,"157,516.68",31.5,31.5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,Central Arizona Water Conservation District,City of Tempe,May '08
AZ223,2008,AZ,1045.24,1045.24,1045.24,1045.24,1045.24,1045.24,,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,City of Tempe,Salt River Project,May '08
AZ224,2008,AZ,704.77,704.77,704.77,704.77,704.77,704.77,,,,,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,0,City of Tempe,Ken McDonald Golf Course,May '08
AZ225,2008,AZ,2371,2371,2371,2371,2371,2371,,,,,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Flagstaff,178 recycled water customers,May '08
AZ226,2008,AZ,,3000,3500,,60000,70000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Salt River Project,Town of Payson,October '08
AZ227,2008,AZ,3400,3400,3400,68000,68000,68000,435200,225971.49,66.46,3.32,1,0,0,,0,0,0,0,0,0,0,0,0,0,,1,Fidelity National Title Trust,Central Arizona Water Conservation District,October '08
AZ228,2008,AZ,2500,2500,2500,50000,50000,50000,337500,175242.13,70.1,3.51,1,0,0,,0,0,0,0,0,0,0,0,0,0,,1,Fidelity National Title Trust,Central Arizona Water Conservation District,October '08
AZ229,2008,AZ,2233.4,2233.4,2233.4,44668,44668,44668,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Private Entities--12 transactions,Private Entities,September '08
