,,,Quantity of Water Transferred,,,,,,Prices,,,,Transfer Length,,,,Transfer Type,,,,,,,,,,,,,,
ID Code,Year,State,Minimum Annual Acre-Feet,Average Annual Acre-Feet,Maximum Annual Acre-Feet,Committed Minimum Acre-Feet,Commited Average Acre-Feet,Commited Maximum Acre-Feet,Total Price,Inflation Adjusted Total Price,Inflation Adjusted Price per Annual Acre-Foot,Inflation Adjusted Price per Committed Acre-Foot,Sale,Lease,Exchange,Lease Duration,Ag-to-Ag,Ag-to-Urban,Ag-to-Enivo,Urban-to-Ag,Urban-to-Urban,Urban-to-Enviro,Enviro-to-Ag,Enviro-to-Urban,Enviro-to-Enviro,Combination,Recycled,Unknown,Seller,Buyer,Water Strategist Issue
CO1597,2004,CO,24,24,24,480,480,480,460000,276633.2,11526.38,576.3191,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Morgan Co Quality WD,May'04
CO1598,2004,CO,29.4,29.4,29.4,588,588,588,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Company,Town of Severance,May'04
CO1600,2004,CO,66,66,66,1320,1320,1320,,,,,,,,,,,,,,,,,,,,1,Private Company,City of Lafayette,Nov '04
CO1601,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Frederick,Nov '04
CO1602,2004,CO,1.2,1.2,1.2,24,24,24,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Windsor,Nov '04
CO1603,2004,CO,2.4,2.4,2.4,48,48,48,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Kersey,Nov '04
CO1604,2004,CO,6,6,6,120,120,120,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,A church,City of Loveland,Nov '04
CO1605,2004,CO,16.8,16.8,16.8,336,336,336,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,City of Lafayette,Nov '04
CO1606,2004,CO,19.5,19.5,19.5,390,390,390,60500,36383.27,1865.809,93.29044,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,City of Louisville,Nov '04
CO1607,2004,CO,45.6,45.6,45.6,912,912,912,,,,,0,0,1,,0,0,0,0,1,0,0,0,0,0,,0,Developers,Town of Windsor,Nov '04
CO1608,2004,CO,72,72,72,1440,1440,1440,1260000,757734.3,10524.09,526.2043,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Company,Ft. Collins Loveland WD,Nov '04
CO1609,2004,CO,272.4,272.4,272.4,5448,5448,5448,4880500,2935018,10774.66,538.733,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Platte Valley Irrigation Company,Town of Erie,Nov '04
CO1610,2004,CO,300,300,300,6000,6000,6000,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private individuals/irrigation districts,City of SalIrrigation Districta,Nov '04
CO1611,2004,CO,2.4,2.4,2.4,48,48,48,,,,,,,,,,,,,,,,,,,,1,Private Company,City of Greeley,Oct '04
CO1612,2004,CO,6,6,6,120,120,120,,,,,,,,,,,,,,,,,,,,1,Private Company,Little Thompson Water District,Oct '04
CO1613,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of LaSalle,Oct '04
CO1614,2004,CO,3,3,3,60,60,60,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Johnstown,Oct '04
CO1615,2004,CO,6,6,6,120,120,120,105000,63144.52,10524.09,526.2043,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,Oct '04
CO1616,2004,CO,6,6,6,120,120,120,120000,72165.17,12027.53,601.3764,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Frederick,Oct '04
CO1617,2004,CO,9.6,9.6,9.6,192,192,192,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Severance,Oct '04
CO1618,2004,CO,114,114,114,2280,2280,2280,840000,505156.2,4431.195,221.5597,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,Developer,Oct '04
CO1619,2004,CO,0.6,0.6,0.6,12,12,12,,,,,,,,,,,,,,,,,,,,1,Investor,Northern Colorado Water Association,Sept '04
CO1620,2004,CO,0.6,0.6,0.6,12,12,12,,,,,,,,,,,,,,,,,,,,1,Investor,Little Thompson Water District,Sept '04
CO1621,2004,CO,6,6,6,120,120,120,,,,,,,,,,,,,,,,,,,,1,Investor,Town of Windsor,Sept '04
CO1622,2004,CO,12,12,12,240,240,240,230000,138316.6,11526.38,576.3191,,,,,,,,,,,,,,,,1,Private Company,Longs Peak Water District,Sept '04
CO1623,2004,CO,36,36,36,720,720,720,,,,,,,,,,,,,,,,,,,,1,Private entities,City of Longmont,Sept '04
CO1624,2004,CO,48.6,48.6,48.6,972,972,972,,,,,,,,,,,,,,,,,,,,1,Private Company,Town of Johnstown,Sept '04
CO1625,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,N. Carter Lake WD,Sept '04
CO1626,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Firestone,Sept '04
CO1627,2004,CO,0.6,0.6,0.6,12,12,12,12500,7517.205,12528.67,626.4338,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Nunn,Sept '04
CO1628,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Investor,Town of Johnstown,Sept '04
CO1629,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Investor,Town of Estes Park,Sept '04
CO1630,2004,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Severance,Sept '04
CO1631,2004,CO,1.2,1.2,1.2,24,24,24,25000,15034.41,12528.67,626.4338,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Firestone,Sept '04
CO1632,2004,CO,1.2,1.2,1.2,24,24,24,25000,15034.41,12528.67,626.4338,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Platteville,Sept '04
CO1633,2004,CO,3,3,3,60,60,60,57500,34579.14,11526.38,576.3191,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Morgan Co Quality WD,Sept '04
CO1634,2004,CO,5.4,5.4,5.4,108,108,108,93600,56288.83,10423.86,521.1929,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,Sept '04
CO1635,2004,CO,6,6,6,120,120,120,117500,70661.73,11776.95,588.8477,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Frederick,Sept '04
CO1636,2004,CO,7.8,7.8,7.8,156,156,156,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Longs Peak Water District,Sept '04
CO1637,2004,CO,9,9,9,180,180,180,160500,96520.91,10724.55,536.2273,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,Sept '04
CO1638,2004,CO,12,12,12,240,240,240,228000,137113.8,11426.15,571.3076,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Sept '04
CO1639,2004,CO,13.2,13.2,13.2,264,264,264,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,City of Greeley,Sept '04
CO1640,2004,CO,14.4,14.4,14.4,288,288,288,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Company,Little Thompson Water District,Sept '04
CO1641,2004,CO,21,21,21,420,420,420,402500,242054,11526.38,576.319,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Morgan Co Quality WD,Sept '04
CO1572,2004,CO,12,13,14,240,260,280,23500,14132.35,1087.104,54.35518,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigators,Irrigators,Jun'04
CO1574,2004,CO,30,30,30,600,600,600,40000,24055.06,801.8352,40.09176,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigators,Irrigators,Jun'04
CO1592,2004,CO,4.8,4.8,4.8,96,96,96,94000,56529.38,11776.95,588.8477,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,Irrigator,May'04
CO1593,2004,CO,12.5,12.5,12.5,250,250,250,6000,3608.259,288.6607,14.43303,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Various private entities,Private entities,May'04
CO1595,2004,CO,20,20,20,400,400,400,332000,199657,9982.849,499.1424,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,Irrigator,May'04
CO1599,2004,CO,80,80,80,1600,1600,1600,79500,47809.43,597.6178,29.88089,1,0,0,,1,0,0,0,0,0,0,0,0,0,,0,Irrigator,Irrigator,May'04
CO1642,2005,CO,200,200,200,4000,4000,4000,2750000,1599590.37,7997.95,399.9,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Platte Valley Irrigation Company--CBT,Town of Erie,Nov-08
CO1643,2005,CO,0.7,0.7,0.7,14,14,14,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Severance,Apr '05
CO1644,2005,CO,1.4,1.4,1.4,28,28,28,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Little Thompson Water District,Apr '05
CO1645,2005,CO,2.1,2.1,2.1,42,42,42,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,City of Evans,Apr '05
CO1646,2005,CO,7,7,7,140,140,140,100000,58166.92,8309.561,415.478,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,Apr '05
CO1647,2005,CO,7,7,7,140,140,140,114000,66310.29,9472.898,473.6449,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Apr '05
CO1648,2005,CO,21,21,21,420,420,420,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Severance,Apr '05
CO1649,2005,CO,35,35,35,700,700,700,500000,290834.6,8309.56,415.478,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,Apr '05
CO1650,2005,CO,3825,3825,3825,3825,3825,3825,,,,,0,1,0,,0,0,0,0,0,0,0,0,0,1,,0,Denver Water,10 recycled water customers,Apr'06
CO1651,2005,CO,4.22,4.22,4.22,84.4,84.4,84.4,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Big Thompson D&M,Developer to City of Loveland,Apr'06
CO1652,2005,CO,173.24,173.24,173.24,3464.8,3464.8,3464.8,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Chubbuck Ditch Co.,Developer to City of Loveland,Apr'06
CO1653,2005,CO,66.3,66.3,66.3,1326,1326,1326,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Louden Ditch Co.,Developer to City of Loveland,Apr'06
CO1654,2005,CO,37.98,37.98,37.98,759.6,759.6,759.6,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,South SIrrigation Districte Ditch Co.,Developer to City of Loveland,Apr'06
CO1655,2005,CO,0.6,0.6,0.6,12,12,12,11000,6398.361,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,N. Colo. Water Association,Dec '05
CO1656,2005,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Severance,Dec '05
CO1657,2005,CO,1.8,1.8,1.8,36,36,36,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Firestone,Dec '05
CO1658,2005,CO,3.6,3.6,3.6,72,72,72,63000,36645.16,10179.21,508.9606,1,0,0,,0,0,0,0,0,0,0,0,0,1,,0,Holcim Inc.,Ft. Collins Loveland WD,Dec '05
CO1660,2005,CO,7.2,7.2,7.2,144,144,144,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Housing Auth. Of Loveland,City of Loveland,Dec '05
CO1661,2005,CO,13.8,13.8,13.8,276,276,276,241500,140473.1,10179.21,508.9605,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,Dec '05
CO1662,2005,CO,21,21,21,420,420,420,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Longs Peak Water District,Dec '05
CO1663,2005,CO,27.6,27.6,27.6,552,552,552,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,City of Dacono,Dec '05
CO1664,2005,CO,31.8,31.8,31.8,636,636,636,572400,332947.5,10470.05,523.5023,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Frederick,Dec '05
CO1665,2005,CO,39,39,39,780,780,780,702000,408331.8,10470.05,523.5023,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Longs Peak Water District,Dec '05
CO1666,2005,CO,46.2,46.2,46.2,924,924,924,808500,470279.6,10179.21,508.9606,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,City of Loveland,Dec '05
CO1668,2005,CO,4000,4000,4000,80000,80000,80000,,,,,1,0,0,,0,0,0,0,0,0,0,0,0,1,,0,Irrigator,The Trust for Public Land and the Rio Grande Headwaters Land Trust,Dec '05
CO1669,2005,CO,75000,75000,75000,1500000,1500000,1500000,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Metropolitan Water District of Southern California,Mojave Water Agency,Dec '05
CO1670,2005,CO,0.6,0.6,0.6,12,12,12,11000,6398.361,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,N Colorado Water Assoc,Feb '05
CO1671,2005,CO,1.2,1.2,1.2,24,24,24,22000,12796.72,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Firestone,Feb '05
CO1672,2005,CO,3,3,3,60,60,60,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,City of Lafayette,Feb '05
CO1673,2005,CO,3.6,3.6,3.6,72,72,72,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,City of Longmont,Feb '05
CO1674,2005,CO,3.6,3.6,3.6,72,72,72,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,City of Lafayette,Feb '05
CO1675,2005,CO,13.8,13.8,13.8,276,276,276,247250,143817.7,10421.57,521.0787,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Platte Valley Irrigation Company,Town of Erie,Feb '05
CO1676,2005,CO,18,18,18,360,360,360,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,"Walmart, Inc.",City of Longmont,Feb '05
CO1677,2005,CO,25.8,25.8,25.8,516,516,516,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,City of Lafayette,Feb '05
CO1679,2005,CO,83.36,83.36,83.36,1667.2,1667.2,1667.2,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Various Developers,City of Loveland,Feb '05
CO1680,2005,CO,4125,4125,4125,82500,82500,82500,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Denver Water,10 recycled water customers,Feb '05
CO1681,2005,CO,4425.5,4425.5,4425.5,4425.5,4425.5,4425.5,2743437.99,1595773.45,360.586,360.586,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Aurora,City of Colorado Springs,Feb '06
CO1682,2005,CO,14000,14000,14000,14000,14000,14000,700000,407168,29.083,29.083,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,0,City of Thorton,Central Colorado Water Conservancy District,Jan '06
CO1683,2005,CO,4.8,4.8,4.8,96,96,96,84000,48860,10179.166,508.958,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Developer,Jan '06
CO1684,2005,CO,1.2,1.2,1.2,24,24,24,21000,12215,10179.166,508.958,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Firestone,Jan '06
CO1685,2005,CO,6,6,6,120,120,120,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Fort Collins--Loveland WD,Jan '06
CO1686,2005,CO,10.8,10.8,10.8,216,216,216,193500,112553,10421.574,521.079,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Frederick,Jan '06
CO1687,2005,CO,7.8,7.8,7.8,156,156,156,139750,81288,10421.538,521.077,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Frederick,Jan '06
CO1688,2005,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Jan '06
CO1689,2005,CO,0.6,0.6,0.6,12,12,12,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Severance,Jan '06
CO1690,2005,CO,9,9,9,180,180,180,45000,26175,2908.333,145.417,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Farmers Reservoir & Irrigation Company,City and County of Broomfield,Jan '06
CO1691,2005,CO,10031,10031,10031,10031,10031,10031,5336264,3103940.56,309.43,309.43,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Various Irrigators,City of Aurora,"Jan '08, Feb '06, Mar '04, Sep '03"
CO1692,2005,CO,5017,5017,5017,5017,5017,5017,3115557,1812223.63,361.22,361.22,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,0,City of Aurora,City of Colorado Springs,January '08
CO1693,2005,CO,4800,4800,4800,4800,4800,4800,1200000,698003.1,145.4173,145.4173,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,Pueblo Board of Water Works,City of Colorado Springs,July/Aug '05
CO1694,2005,CO,3.5,3.5,3.5,70,70,70,,,,,,,,,,,,,,,,,,,,1,Developer,Longs Peak Water District,July/Aug '05
CO1695,2005,CO,5.6,5.6,5.6,112,112,112,,,,,,,,,,,,,,,,,,,,1,Developer,Longs Peak Water District,July/Aug '05
CO1696,2005,CO,0.7,0.7,0.7,14,14,14,12000,6980.031,9971.473,498.5736,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Nunn,July/Aug '05
CO1697,2005,CO,0.7,0.7,0.7,14,14,14,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Severance,July/Aug '05
CO1698,2005,CO,0.7,0.7,0.7,14,14,14,11500,6689.196,9555.994,477.7997,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Northern Colorado Water Association,July/Aug '05
CO1699,2005,CO,2.8,2.8,2.8,56,56,56,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Windsor,July/Aug '05
CO1700,2005,CO,3.5,3.5,3.5,70,70,70,57500,33445.98,9555.994,477.7997,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,July/Aug '05
CO1701,2005,CO,12.6,12.6,12.6,252,252,252,192600,112029.5,8891.229,444.5615,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Firestone,July/Aug '05
CO1702,2005,CO,14,14,14,280,280,280,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,City of Loveland,July/Aug '05
CO1703,2005,CO,14,14,14,280,280,280,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Frederick,July/Aug '05
CO1704,2005,CO,15.4,15.4,15.4,308,308,308,239800,139484.3,9057.421,452.871,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Frederick,July/Aug '05
CO1705,2005,CO,28,28,28,560,560,560,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Severance,July/Aug '05
CO1706,2005,CO,30.1,30.1,30.1,602,602,602,460100,267626,8891.229,444.5615,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Firestone,July/Aug '05
CO1707,2005,CO,45.6,45.6,45.6,912,912,912,332000,193114.2,4234.96,211.748,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigators,Developers,July/Aug '05
CO1708,2005,CO,84,84,84,1680,1680,1680,1260000,732903.2,8725.038,436.2519,1,0,0,,0,0,0,0,0,0,0,0,0,1,,0,Platte Valley Irrigation Company,Morgan Co Quality WD,July/Aug '05
CO1709,2005,CO,140,140,140,2800,2800,2800,2030000,1180789,8434.203,421.7102,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,July/Aug '05
CO1710,2005,CO,1736,1736,1736,1736,1736,1736,,,,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,0,Bureau of Reclamation,Town of Berthoud,June '05
CO1711,2005,CO,168,168,168,3360,3360,3360,,,,,,,,,,,,,,,,,,,,1,Developer,Town of Frederick,June '05
CO1712,2005,CO,0.7,0.7,0.7,14,14,14,11700,6805.53,9722.186,486.1093,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Investor,Northern Colorado Water Association,June '05
CO1713,2005,CO,0.7,0.7,0.7,14,14,14,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,City of Evans,June '05
CO1714,2005,CO,0.7,0.7,0.7,14,14,14,11500,6689.196,9555.994,477.7997,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Northern Colorado Water Association,June '05
CO1715,2005,CO,1.4,1.4,1.4,28,28,28,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Investor,Town of Windsor,June '05
CO1716,2005,CO,2.1,2.1,2.1,42,42,42,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,June '05
CO1717,2005,CO,2.1,2.1,2.1,42,42,42,33600,19544.09,9306.708,465.3354,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Milliken,June '05
CO1718,2005,CO,2.8,2.8,2.8,56,56,56,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Investor,Town of Erie,June '05
CO1719,2005,CO,3.5,3.5,3.5,70,70,70,59000,34318.48,9805.281,490.2641,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Company,Northern Colorado Water Association,June '05
CO1720,2005,CO,7,7,7,140,140,140,,,,,1,0,0,,0,0,1,0,0,0,0,0,0,0,,0,Irrigator,County of Boulder,June '05
CO1721,2005,CO,7.7,7.7,7.7,154,154,154,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Town of Erie,June '05
CO1723,2005,CO,28,28,28,560,560,560,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Frederick,June '05
CO1724,2005,CO,34.2,34.2,34.2,684,684,684,,,,,0,0,1,,0,1,0,0,0,0,0,0,0,0,,0,Developers,Town of Windsor,June '05
CO1725,2005,CO,42,42,42,840,840,840,630000,366451.6,8725.038,436.2519,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Morgan Co Quality WD,June '05
CO1726,2005,CO,98,98,98,1960,1960,1960,1575000,916129,9348.255,467.4128,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Private Company,Little Thompson Water District,June '05
CO1727,2005,CO,207,207,207,4140,4140,4140,2899978,1686828,8148.927,407.4464,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Various Parties,City of Northglenn,June '05
CO1728,2005,CO,2.4,2.4,2.4,48,48,48,,,,,,,,,,,,,,,,,,,,1,Developer,Left Hand Water District,Mar '05
CO1729,2005,CO,24,24,24,480,480,480,,,,,,,,,,,,,,,,,,,,1,Developer,Morgan Co Quality WD,Mar '05
CO1730,2005,CO,0.6,0.6,0.6,12,12,12,11000,6398.361,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Northern Colorado Water Association,Mar '05
CO1731,2005,CO,1.2,1.2,1.2,24,24,24,22000,12796.72,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Mar '05
CO1732,2005,CO,1.2,1.2,1.2,24,24,24,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Windsor,Mar '05
CO1733,2005,CO,1.8,1.8,1.8,36,36,36,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Mar '05
CO1734,2005,CO,2.4,2.4,2.4,48,48,48,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Longs Peak Water District,Mar '05
CO1735,2005,CO,2.4,2.4,2.4,48,48,48,44000,25593.45,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Little Thompson Water District,Mar '05
CO1736,2005,CO,3,3,3,60,60,60,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Town of Pierce,City of Fort Lupton,Mar '05
CO1737,2005,CO,3,3,3,60,60,60,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Town of Pierce,Town of Ault,Mar '05
CO1738,2005,CO,3.6,3.6,3.6,72,72,72,,,,,1,0,0,,0,0,0,0,1,0,0,0,0,0,,0,Town of Pierce,Town of Kersey,Mar '05
CO1739,2005,CO,6,6,6,120,120,120,110000,63983.61,10663.94,533.1968,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Central Weld County WD,Mar '05
CO1741,2005,CO,15,15,15,300,300,300,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Longs Peak Water District,Mar '05
CO1742,2005,CO,4900,4900,4900,4900,4900,4900,105640,61447.54,12.54031,12.54031,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,0,Bureau of Reclamation,3 water and sanitation districts and Colorado Water Protective and Development Association,May '05
CO1743,2005,CO,53.2,53.2,53.2,1064,1064,1064,,,,,,,,,,,,,,,,,,,,1,Investor,City of Dacono,May '05
CO1744,2005,CO,0.7,0.7,0.7,14,14,14,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Individuals/irrigation districts,Longs Peak Water District,May '05
CO1745,2005,CO,1.4,1.4,1.4,28,28,28,20000,11633.38,8309.561,415.478,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Ft. Collins Loveland WD,May '05
CO1746,2005,CO,1.4,1.4,1.4,28,28,28,23000,13378.39,9555.994,477.7997,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Gilcrest,May '05
CO1747,2005,CO,1.4,1.4,1.4,28,28,28,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Little Thompson Water District,May '05
CO1748,2005,CO,1.4,1.4,1.4,28,28,28,23000,13378.39,9555.994,477.7997,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Irrigator,Town of Firestone,May '05
CO1749,2005,CO,2.1,2.1,2.1,42,42,42,,,,,1,0,0,,0,1,0,0,0,0,0,0,0,0,,0,Developer,Town of Severance,May '05
